"experiment_name","assay_plate_number","assay_well","assay_time_hours","od600","assay_strain","stock_b12_conc","stock_met_conc","stock_volume_added","assay_volume_added","bio_replicate","tech_replicate","bacteria_strain_id","sample_treatment","assay_type","b12_conc_ngl","met_conc_mgl","assay_dilution","adjusted_b12_conc_ngl","log_b12_pgl","fluorescence","log_fluorescence"
"b12_assay_4","2","B17",23,0.844,"metE",13.1072,223.8,10,90,1,1,"blank",NA,"E. coli OD600",1.31072,22.417,0.1,1.31072,7.17833188353098,NA,NA
"b12_assay_4","2","B18",23,0.617,"metE",13.1072,223.8,3,97,1,1,"blank",NA,"E. coli OD600",0.393216,6.751,0.03,0.393216,5.97435907920504,NA,NA
"b12_assay_4","2","B19",23,0.883,"metE",5.24288,223.8,10,90,1,1,"blank",NA,"E. coli OD600",0.524288,22.417,0.1,0.524288,6.26204115165682,NA,NA
"b12_assay_4","2","B2",23,0.932,"metE",20000,223.8,3,97,1,1,"blank",NA,"E. coli OD600",600,6.751,0.03,600,13.3046849341983,NA,NA
"b12_assay_4","2","B20",23,0.597,"metE",5.24288,223.8,3,97,1,1,"blank",NA,"E. coli OD600",0.1572864,6.751,0.03,0.1572864,5.05806834733089,NA,NA
"b12_assay_4","2","B21",23,0.812,"metE",2.097152,223.8,10,90,1,1,"blank",NA,"E. coli OD600",0.2097152,22.417,0.1,0.2097152,5.34575041978267,NA,NA
"b12_assay_4","2","B22",23,0.621,"metE",2.097152,223.8,3,97,1,1,"blank",NA,"E. coli OD600",0.06291456,6.751,0.03,0.06291456,4.14177761545673,NA,NA
"b12_assay_4","2","B23",23,0.911,"metE",0,223.8,10,90,1,1,"blank",NA,"E. coli OD600",0,22.417,0.1,0,-Inf,NA,NA
"b12_assay_4","2","B24",23,0.604,"metE",0,223.8,3,97,1,1,"blank",NA,"E. coli OD600",0,6.751,0.03,0,-Inf,NA,NA
"b12_assay_4","2","B3",23,0.886,"metE",8000,223.8,10,90,1,1,"blank",NA,"E. coli OD600",800,22.417,0.1,800,13.5923670066501,NA,NA
"b12_assay_4","2","B4",23,0.941,"metE",8000,223.8,3,97,1,1,"blank",NA,"E. coli OD600",240,6.751,0.03,240,12.3883942023241,NA,NA
"b12_assay_4","2","B5",23,0.94,"metE",3200,223.8,10,90,1,1,"blank",NA,"E. coli OD600",320,22.417,0.1,320,12.6760762747759,NA,NA
"b12_assay_4","2","B6",23,0.692,"metE",3200,223.8,3,97,1,1,"blank",NA,"E. coli OD600",96,6.751,0.03,96,11.47210347045,NA,NA
"b12_assay_4","2","B7",23,0.885,"metE",1280,223.8,10,90,1,1,"blank",NA,"E. coli OD600",128,22.417,0.1,128,11.7597855429018,NA,NA
"b12_assay_4","2","B8",23,0.744,"metE",1280,223.8,3,97,1,1,"blank",NA,"E. coli OD600",38.4,6.751,0.03,38.4,10.5558127385758,NA,NA
"b12_assay_4","2","B9",23,0.904,"metE",512,223.8,10,90,1,1,"blank",NA,"E. coli OD600",51.2,22.417,0.1,51.2,10.8434948110276,NA,NA
"b12_assay_4","2","C1",23,0.898,"metE",20000,55.95,10,90,1,1,"blank",NA,"E. coli OD600",2000,5.632,0.1,2000,14.5086577385242,NA,NA
"b12_assay_4","2","C10",23,0.44,"metE",512,55.95,3,97,1,1,"blank",NA,"E. coli OD600",15.36,1.7155,0.03,15.36,9.63952200670166,NA,NA
"b12_assay_4","2","C11",23,0.72,"metE",204.8,55.95,10,90,1,1,"blank",NA,"E. coli OD600",20.48,5.632,0.1,20.48,9.92720407915344,NA,NA
"b12_assay_4","2","C12",23,0.384,"metE",204.8,55.95,3,97,1,1,"blank",NA,"E. coli OD600",6.144,1.7155,0.03,6.144,8.72323127482751,NA,NA
"b12_assay_4","2","C13",23,0.666,"metE",81.92,55.95,10,90,1,1,"blank",NA,"E. coli OD600",8.192,5.632,0.1,8.192,9.01091334727929,NA,NA
"b12_assay_4","2","C14",23,0.317,"metE",81.92,55.95,3,97,1,1,"blank",NA,"E. coli OD600",2.4576,1.7155,0.03,2.4576,7.80694054295335,NA,NA
"b12_assay_4","2","C15",23,0.674,"metE",32.768,55.95,10,90,1,1,"blank",NA,"E. coli OD600",3.2768,5.632,0.1,3.2768,8.09462261540513,NA,NA
"b12_assay_4","2","C16",23,0.329,"metE",32.768,55.95,3,97,1,1,"blank",NA,"E. coli OD600",0.98304,1.7155,0.03,0.98304,6.8906498110792,NA,NA
"b12_assay_4","2","C17",23,0.615,"metE",13.1072,55.95,10,90,1,1,"blank",NA,"E. coli OD600",1.31072,5.632,0.1,1.31072,7.17833188353098,NA,NA
"b12_assay_4","2","C18",23,0.323,"metE",13.1072,55.95,3,97,1,1,"blank",NA,"E. coli OD600",0.393216,1.7155,0.03,0.393216,5.97435907920504,NA,NA
"b12_assay_4","2","C19",23,0.606,"metE",5.24288,55.95,10,90,1,1,"blank",NA,"E. coli OD600",0.524288,5.632,0.1,0.524288,6.26204115165682,NA,NA
"b12_assay_4","2","C2",23,0.69,"metE",20000,55.95,3,97,1,1,"blank",NA,"E. coli OD600",600,1.7155,0.03,600,13.3046849341983,NA,NA
"b12_assay_4","2","C20",23,0.306,"metE",5.24288,55.95,3,97,1,1,"blank",NA,"E. coli OD600",0.1572864,1.7155,0.03,0.1572864,5.05806834733089,NA,NA
"b12_assay_4","2","C21",23,0.612,"metE",2.097152,55.95,10,90,1,1,"blank",NA,"E. coli OD600",0.2097152,5.632,0.1,0.2097152,5.34575041978267,NA,NA
"b12_assay_4","2","C22",23,0.388,"metE",2.097152,55.95,3,97,1,1,"blank",NA,"E. coli OD600",0.06291456,1.7155,0.03,0.06291456,4.14177761545673,NA,NA
"b12_assay_4","2","C23",23,0.646,"metE",0,55.95,10,90,1,1,"blank",NA,"E. coli OD600",0,5.632,0.1,0,-Inf,NA,NA
"b12_assay_4","2","C24",23,0.291,"metE",0,55.95,3,97,1,1,"blank",NA,"E. coli OD600",0,1.7155,0.03,0,-Inf,NA,NA
"b12_assay_4","2","C3",23,0.818,"metE",8000,55.95,10,90,1,1,"blank",NA,"E. coli OD600",800,5.632,0.1,800,13.5923670066501,NA,NA
"b12_assay_4","2","C4",23,0.779,"metE",8000,55.95,3,97,1,1,"blank",NA,"E. coli OD600",240,1.7155,0.03,240,12.3883942023241,NA,NA
"b12_assay_4","2","C5",23,0.902,"metE",3200,55.95,10,90,1,1,"blank",NA,"E. coli OD600",320,5.632,0.1,320,12.6760762747759,NA,NA
"b12_assay_4","2","C6",23,0.734,"metE",3200,55.95,3,97,1,1,"blank",NA,"E. coli OD600",96,1.7155,0.03,96,11.47210347045,NA,NA
"b12_assay_4","2","C7",23,0.822,"metE",1280,55.95,10,90,1,1,"blank",NA,"E. coli OD600",128,5.632,0.1,128,11.7597855429018,NA,NA
"b12_assay_4","2","C8",23,0.608,"metE",1280,55.95,3,97,1,1,"blank",NA,"E. coli OD600",38.4,1.7155,0.03,38.4,10.5558127385758,NA,NA
"b12_assay_4","2","C9",23,0.798,"metE",512,55.95,10,90,1,1,"blank",NA,"E. coli OD600",51.2,5.632,0.1,51.2,10.8434948110276,NA,NA
"b12_assay_4","2","D1",23,0.851,"metE",20000,13.9875,10,90,1,1,"blank",NA,"E. coli OD600",2000,1.43575,0.1,2000,14.5086577385242,NA,NA
"b12_assay_4","2","D10",23,0.235,"metE",512,13.9875,3,97,1,1,"blank",NA,"E. coli OD600",15.36,0.456625,0.03,15.36,9.63952200670166,NA,NA
"b12_assay_4","2","D11",23,0.504,"metE",204.8,13.9875,10,90,1,1,"blank",NA,"E. coli OD600",20.48,1.43575,0.1,20.48,9.92720407915344,NA,NA
"b12_assay_4","2","D12",23,0.152,"metE",204.8,13.9875,3,97,1,1,"blank",NA,"E. coli OD600",6.144,0.456625,0.03,6.144,8.72323127482751,NA,NA
"b12_assay_4","2","D13",23,0.415,"metE",81.92,13.9875,10,90,1,1,"blank",NA,"E. coli OD600",8.192,1.43575,0.1,8.192,9.01091334727929,NA,NA
"b12_assay_4","2","D14",23,0.141,"metE",81.92,13.9875,3,97,1,1,"blank",NA,"E. coli OD600",2.4576,0.456625,0.03,2.4576,7.80694054295335,NA,NA
"b12_assay_4","2","D15",23,0.35,"metE",32.768,13.9875,10,90,1,1,"blank",NA,"E. coli OD600",3.2768,1.43575,0.1,3.2768,8.09462261540513,NA,NA
"b12_assay_4","2","D16",23,0.134,"metE",32.768,13.9875,3,97,1,1,"blank",NA,"E. coli OD600",0.98304,0.456625,0.03,0.98304,6.8906498110792,NA,NA
"b12_assay_4","2","D17",23,0.338,"metE",13.1072,13.9875,10,90,1,1,"blank",NA,"E. coli OD600",1.31072,1.43575,0.1,1.31072,7.17833188353098,NA,NA
"b12_assay_4","2","D18",23,0.102,"metE",13.1072,13.9875,3,97,1,1,"blank",NA,"E. coli OD600",0.393216,0.456625,0.03,0.393216,5.97435907920504,NA,NA
"b12_assay_4","2","D19",23,0.3,"metE",5.24288,13.9875,10,90,1,1,"blank",NA,"E. coli OD600",0.524288,1.43575,0.1,0.524288,6.26204115165682,NA,NA
"b12_assay_4","2","D2",23,0.743,"metE",20000,13.9875,3,97,1,1,"blank",NA,"E. coli OD600",600,0.456625,0.03,600,13.3046849341983,NA,NA
"b12_assay_4","2","D20",23,0.124,"metE",5.24288,13.9875,3,97,1,1,"blank",NA,"E. coli OD600",0.1572864,0.456625,0.03,0.1572864,5.05806834733089,NA,NA
"b12_assay_4","2","D21",23,0.312,"metE",2.097152,13.9875,10,90,1,1,"blank",NA,"E. coli OD600",0.2097152,1.43575,0.1,0.2097152,5.34575041978267,NA,NA
"b12_assay_4","2","D22",23,0.116,"metE",2.097152,13.9875,3,97,1,1,"blank",NA,"E. coli OD600",0.06291456,0.456625,0.03,0.06291456,4.14177761545673,NA,NA
"b12_assay_4","2","D23",23,0.355,"metE",0,13.9875,10,90,1,1,"blank",NA,"E. coli OD600",0,1.43575,0.1,0,-Inf,NA,NA
"b12_assay_4","2","D24",23,0.106,"metE",0,13.9875,3,97,1,1,"blank",NA,"E. coli OD600",0,0.456625,0.03,0,-Inf,NA,NA
"b12_assay_4","2","D3",23,0.838,"metE",8000,13.9875,10,90,1,1,"blank",NA,"E. coli OD600",800,1.43575,0.1,800,13.5923670066501,NA,NA
"b12_assay_4","2","D4",23,0.816,"metE",8000,13.9875,3,97,1,1,"blank",NA,"E. coli OD600",240,0.456625,0.03,240,12.3883942023241,NA,NA
"b12_assay_4","2","D5",23,0.719,"metE",3200,13.9875,10,90,1,1,"blank",NA,"E. coli OD600",320,1.43575,0.1,320,12.6760762747759,NA,NA
"b12_assay_4","2","D6",23,0.524,"metE",3200,13.9875,3,97,1,1,"blank",NA,"E. coli OD600",96,0.456625,0.03,96,11.47210347045,NA,NA
"b12_assay_4","2","D7",23,0.782,"metE",1280,13.9875,10,90,1,1,"blank",NA,"E. coli OD600",128,1.43575,0.1,128,11.7597855429018,NA,NA
"b12_assay_4","2","D8",23,0.553,"metE",1280,13.9875,3,97,1,1,"blank",NA,"E. coli OD600",38.4,0.456625,0.03,38.4,10.5558127385758,NA,NA
"b12_assay_4","2","D9",23,0.696,"metE",512,13.9875,10,90,1,1,"blank",NA,"E. coli OD600",51.2,1.43575,0.1,51.2,10.8434948110276,NA,NA
"b12_assay_4","2","E1",23,0.845,"metE",20000,3.496875,10,90,1,1,"blank",NA,"E. coli OD600",2000,0.3866875,0.1,2000,14.5086577385242,NA,NA
"b12_assay_4","2","E10",23,0.203,"metE",512,3.496875,3,97,1,1,"blank",NA,"E. coli OD600",15.36,0.14190625,0.03,15.36,9.63952200670166,NA,NA
"b12_assay_4","2","E11",23,0.303,"metE",204.8,3.496875,10,90,1,1,"blank",NA,"E. coli OD600",20.48,0.3866875,0.1,20.48,9.92720407915344,NA,NA
"b12_assay_4","2","E12",23,0.111,"metE",204.8,3.496875,3,97,1,1,"blank",NA,"E. coli OD600",6.144,0.14190625,0.03,6.144,8.72323127482751,NA,NA
"b12_assay_4","2","E13",23,0.155,"metE",81.92,3.496875,10,90,1,1,"blank",NA,"E. coli OD600",8.192,0.3866875,0.1,8.192,9.01091334727929,NA,NA
"b12_assay_4","2","E14",23,0.063,"metE",81.92,3.496875,3,97,1,1,"blank",NA,"E. coli OD600",2.4576,0.14190625,0.03,2.4576,7.80694054295335,NA,NA
"b12_assay_4","2","E15",23,0.127,"metE",32.768,3.496875,10,90,1,1,"blank",NA,"E. coli OD600",3.2768,0.3866875,0.1,3.2768,8.09462261540513,NA,NA
"b12_assay_4","2","E16",23,0.057,"metE",32.768,3.496875,3,97,1,1,"blank",NA,"E. coli OD600",0.98304,0.14190625,0.03,0.98304,6.8906498110792,NA,NA
"b12_assay_4","2","E17",23,0.12,"metE",13.1072,3.496875,10,90,1,1,"blank",NA,"E. coli OD600",1.31072,0.3866875,0.1,1.31072,7.17833188353098,NA,NA
"b12_assay_4","2","E18",23,0.045,"metE",13.1072,3.496875,3,97,1,1,"blank",NA,"E. coli OD600",0.393216,0.14190625,0.03,0.393216,5.97435907920504,NA,NA
"b12_assay_4","2","E19",23,0.084,"metE",5.24288,3.496875,10,90,1,1,"blank",NA,"E. coli OD600",0.524288,0.3866875,0.1,0.524288,6.26204115165682,NA,NA
"b12_assay_4","2","E2",23,0.78,"metE",20000,3.496875,3,97,1,1,"blank",NA,"E. coli OD600",600,0.14190625,0.03,600,13.3046849341983,NA,NA
"b12_assay_4","2","E20",23,0.053,"metE",5.24288,3.496875,3,97,1,1,"blank",NA,"E. coli OD600",0.1572864,0.14190625,0.03,0.1572864,5.05806834733089,NA,NA
"b12_assay_4","2","E21",23,0.087,"metE",2.097152,3.496875,10,90,1,1,"blank",NA,"E. coli OD600",0.2097152,0.3866875,0.1,0.2097152,5.34575041978267,NA,NA
"b12_assay_4","2","E22",23,0.054,"metE",2.097152,3.496875,3,97,1,1,"blank",NA,"E. coli OD600",0.06291456,0.14190625,0.03,0.06291456,4.14177761545673,NA,NA
"b12_assay_4","2","E23",23,0.13,"metE",0,3.496875,10,90,1,1,"blank",NA,"E. coli OD600",0,0.3866875,0.1,0,-Inf,NA,NA
"b12_assay_4","2","E24",23,0.051,"metE",0,3.496875,3,97,1,1,"blank",NA,"E. coli OD600",0,0.14190625,0.03,0,-Inf,NA,NA
"b12_assay_4","2","E3",23,0.722,"metE",8000,3.496875,10,90,1,1,"blank",NA,"E. coli OD600",800,0.3866875,0.1,800,13.5923670066501,NA,NA
"b12_assay_4","2","E4",23,0.679,"metE",8000,3.496875,3,97,1,1,"blank",NA,"E. coli OD600",240,0.14190625,0.03,240,12.3883942023241,NA,NA
"b12_assay_4","2","E5",23,0.663,"metE",3200,3.496875,10,90,1,1,"blank",NA,"E. coli OD600",320,0.3866875,0.1,320,12.6760762747759,NA,NA
"b12_assay_4","2","E6",23,0.666,"metE",3200,3.496875,3,97,1,1,"blank",NA,"E. coli OD600",96,0.14190625,0.03,96,11.47210347045,NA,NA
"b12_assay_4","2","E7",23,0.766,"metE",1280,3.496875,10,90,1,1,"blank",NA,"E. coli OD600",128,0.3866875,0.1,128,11.7597855429018,NA,NA
"b12_assay_4","2","E8",23,0.605,"metE",1280,3.496875,3,97,1,1,"blank",NA,"E. coli OD600",38.4,0.14190625,0.03,38.4,10.5558127385758,NA,NA
"b12_assay_4","2","E9",23,0.645,"metE",512,3.496875,10,90,1,1,"blank",NA,"E. coli OD600",51.2,0.3866875,0.1,51.2,10.8434948110276,NA,NA
"b12_assay_4","2","F1",23,0.904,"metE",20000,0.87421875,10,90,1,1,"blank",NA,"E. coli OD600",2000,0.124421875,0.1,2000,14.5086577385242,NA,NA
"b12_assay_4","2","F10",23,0.209,"metE",512,0.87421875,3,97,1,1,"blank",NA,"E. coli OD600",15.36,0.0632265625,0.03,15.36,9.63952200670166,NA,NA
"b12_assay_4","2","F11",23,0.285,"metE",204.8,0.87421875,10,90,1,1,"blank",NA,"E. coli OD600",20.48,0.124421875,0.1,20.48,9.92720407915344,NA,NA
"b12_assay_4","2","F12",23,0.088,"metE",204.8,0.87421875,3,97,1,1,"blank",NA,"E. coli OD600",6.144,0.0632265625,0.03,6.144,8.72323127482751,NA,NA
"b12_assay_4","2","F13",23,0.137,"metE",81.92,0.87421875,10,90,1,1,"blank",NA,"E. coli OD600",8.192,0.124421875,0.1,8.192,9.01091334727929,NA,NA
"b12_assay_4","2","F14",23,0.058,"metE",81.92,0.87421875,3,97,1,1,"blank",NA,"E. coli OD600",2.4576,0.0632265625,0.03,2.4576,7.80694054295335,NA,NA
"b12_assay_4","2","F15",23,0.075,"metE",32.768,0.87421875,10,90,1,1,"blank",NA,"E. coli OD600",3.2768,0.124421875,0.1,3.2768,8.09462261540513,NA,NA
"b12_assay_4","2","F16",23,0.04,"metE",32.768,0.87421875,3,97,1,1,"blank",NA,"E. coli OD600",0.98304,0.0632265625,0.03,0.98304,6.8906498110792,NA,NA
"b12_assay_4","2","F17",23,0.065,"metE",13.1072,0.87421875,10,90,1,1,"blank",NA,"E. coli OD600",1.31072,0.124421875,0.1,1.31072,7.17833188353098,NA,NA
"b12_assay_4","2","F18",23,0.039,"metE",13.1072,0.87421875,3,97,1,1,"blank",NA,"E. coli OD600",0.393216,0.0632265625,0.03,0.393216,5.97435907920504,NA,NA
"b12_assay_4","2","F19",23,0.055,"metE",5.24288,0.87421875,10,90,1,1,"blank",NA,"E. coli OD600",0.524288,0.124421875,0.1,0.524288,6.26204115165682,NA,NA
"b12_assay_4","2","F2",23,0.823,"metE",20000,0.87421875,3,97,1,1,"blank",NA,"E. coli OD600",600,0.0632265625,0.03,600,13.3046849341983,NA,NA
"b12_assay_4","2","F20",23,0.039,"metE",5.24288,0.87421875,3,97,1,1,"blank",NA,"E. coli OD600",0.1572864,0.0632265625,0.03,0.1572864,5.05806834733089,NA,NA
"b12_assay_4","2","F21",23,0.058,"metE",2.097152,0.87421875,10,90,1,1,"blank",NA,"E. coli OD600",0.2097152,0.124421875,0.1,0.2097152,5.34575041978267,NA,NA
"b12_assay_4","2","F22",23,0.038,"metE",2.097152,0.87421875,3,97,1,1,"blank",NA,"E. coli OD600",0.06291456,0.0632265625,0.03,0.06291456,4.14177761545673,NA,NA
"b12_assay_4","2","F23",23,0.062,"metE",0,0.87421875,10,90,1,1,"blank",NA,"E. coli OD600",0,0.124421875,0.1,0,-Inf,NA,NA
"b12_assay_4","2","F24",23,0.034,"metE",0,0.87421875,3,97,1,1,"blank",NA,"E. coli OD600",0,0.0632265625,0.03,0,-Inf,NA,NA
"b12_assay_4","2","F3",23,0.849,"metE",8000,0.87421875,10,90,1,1,"blank",NA,"E. coli OD600",800,0.124421875,0.1,800,13.5923670066501,NA,NA
"b12_assay_4","2","F4",23,0.647,"metE",8000,0.87421875,3,97,1,1,"blank",NA,"E. coli OD600",240,0.0632265625,0.03,240,12.3883942023241,NA,NA
"b12_assay_4","2","F5",23,0.782,"metE",3200,0.87421875,10,90,1,1,"blank",NA,"E. coli OD600",320,0.124421875,0.1,320,12.6760762747759,NA,NA
"b12_assay_4","2","F6",23,0.633,"metE",3200,0.87421875,3,97,1,1,"blank",NA,"E. coli OD600",96,0.0632265625,0.03,96,11.47210347045,NA,NA
"b12_assay_4","2","F7",23,0.685,"metE",1280,0.87421875,10,90,1,1,"blank",NA,"E. coli OD600",128,0.124421875,0.1,128,11.7597855429018,NA,NA
"b12_assay_4","2","F8",23,0.63,"metE",1280,0.87421875,3,97,1,1,"blank",NA,"E. coli OD600",38.4,0.0632265625,0.03,38.4,10.5558127385758,NA,NA
"b12_assay_4","2","F9",23,0.591,"metE",512,0.87421875,10,90,1,1,"blank",NA,"E. coli OD600",51.2,0.124421875,0.1,51.2,10.8434948110276,NA,NA
"b12_assay_4","2","G1",23,0.79,"metE",20000,0.2185546875,10,90,1,1,"blank",NA,"E. coli OD600",2000,0.05885546875,0.1,2000,14.5086577385242,NA,NA
"b12_assay_4","2","G10",23,0.196,"metE",512,0.2185546875,3,97,1,1,"blank",NA,"E. coli OD600",15.36,0.043556640625,0.03,15.36,9.63952200670166,NA,NA
"b12_assay_4","2","G11",23,0.328,"metE",204.8,0.2185546875,10,90,1,1,"blank",NA,"E. coli OD600",20.48,0.05885546875,0.1,20.48,9.92720407915344,NA,NA
"b12_assay_4","2","G12",23,0.102,"metE",204.8,0.2185546875,3,97,1,1,"blank",NA,"E. coli OD600",6.144,0.043556640625,0.03,6.144,8.72323127482751,NA,NA
"b12_assay_4","2","G13",23,0.124,"metE",81.92,0.2185546875,10,90,1,1,"blank",NA,"E. coli OD600",8.192,0.05885546875,0.1,8.192,9.01091334727929,NA,NA
"b12_assay_4","2","G14",23,0.056,"metE",81.92,0.2185546875,3,97,1,1,"blank",NA,"E. coli OD600",2.4576,0.043556640625,0.03,2.4576,7.80694054295335,NA,NA
"b12_assay_4","2","G15",23,0.073,"metE",32.768,0.2185546875,10,90,1,1,"blank",NA,"E. coli OD600",3.2768,0.05885546875,0.1,3.2768,8.09462261540513,NA,NA
"b12_assay_4","2","G16",23,0.038,"metE",32.768,0.2185546875,3,97,1,1,"blank",NA,"E. coli OD600",0.98304,0.043556640625,0.03,0.98304,6.8906498110792,NA,NA
"b12_assay_4","2","G17",23,0.045,"metE",13.1072,0.2185546875,10,90,1,1,"blank",NA,"E. coli OD600",1.31072,0.05885546875,0.1,1.31072,7.17833188353098,NA,NA
"b12_assay_4","2","G18",23,0.033,"metE",13.1072,0.2185546875,3,97,1,1,"blank",NA,"E. coli OD600",0.393216,0.043556640625,0.03,0.393216,5.97435907920504,NA,NA
"b12_assay_4","2","G19",23,0.041,"metE",5.24288,0.2185546875,10,90,1,1,"blank",NA,"E. coli OD600",0.524288,0.05885546875,0.1,0.524288,6.26204115165682,NA,NA
"b12_assay_4","2","G2",23,0.809,"metE",20000,0.2185546875,3,97,1,1,"blank",NA,"E. coli OD600",600,0.043556640625,0.03,600,13.3046849341983,NA,NA
"b12_assay_4","2","G20",23,0.035,"metE",5.24288,0.2185546875,3,97,1,1,"blank",NA,"E. coli OD600",0.1572864,0.043556640625,0.03,0.1572864,5.05806834733089,NA,NA
"b12_assay_4","2","G21",23,0.04,"metE",2.097152,0.2185546875,10,90,1,1,"blank",NA,"E. coli OD600",0.2097152,0.05885546875,0.1,0.2097152,5.34575041978267,NA,NA
"b12_assay_4","2","G22",23,0.035,"metE",2.097152,0.2185546875,3,97,1,1,"blank",NA,"E. coli OD600",0.06291456,0.043556640625,0.03,0.06291456,4.14177761545673,NA,NA
"b12_assay_4","2","G23",23,0.043,"metE",0,0.2185546875,10,90,1,1,"blank",NA,"E. coli OD600",0,0.05885546875,0.1,0,-Inf,NA,NA
"b12_assay_4","2","G24",23,0.038,"metE",0,0.2185546875,3,97,1,1,"blank",NA,"E. coli OD600",0,0.043556640625,0.03,0,-Inf,NA,NA
"b12_assay_4","2","G3",23,0.731,"metE",8000,0.2185546875,10,90,1,1,"blank",NA,"E. coli OD600",800,0.05885546875,0.1,800,13.5923670066501,NA,NA
"b12_assay_4","2","G4",23,0.711,"metE",8000,0.2185546875,3,97,1,1,"blank",NA,"E. coli OD600",240,0.043556640625,0.03,240,12.3883942023241,NA,NA
"b12_assay_4","2","G5",23,0.751,"metE",3200,0.2185546875,10,90,1,1,"blank",NA,"E. coli OD600",320,0.05885546875,0.1,320,12.6760762747759,NA,NA
"b12_assay_4","2","G6",23,0.64,"metE",3200,0.2185546875,3,97,1,1,"blank",NA,"E. coli OD600",96,0.043556640625,0.03,96,11.47210347045,NA,NA
"b12_assay_4","2","G7",23,0.743,"metE",1280,0.2185546875,10,90,1,1,"blank",NA,"E. coli OD600",128,0.05885546875,0.1,128,11.7597855429018,NA,NA
"b12_assay_4","2","G8",23,0.53,"metE",1280,0.2185546875,3,97,1,1,"blank",NA,"E. coli OD600",38.4,0.043556640625,0.03,38.4,10.5558127385758,NA,NA
"b12_assay_4","2","G9",23,0.605,"metE",512,0.2185546875,10,90,1,1,"blank",NA,"E. coli OD600",51.2,0.05885546875,0.1,51.2,10.8434948110276,NA,NA
"b12_assay_4","2","H1",23,0.761,"metE",20000,0,10,90,1,1,"blank",NA,"E. coli OD600",2000,0.037,0.1,2000,14.5086577385242,NA,NA
"b12_assay_4","2","H10",23,0.201,"metE",512,0,3,97,1,1,"blank",NA,"E. coli OD600",15.36,0.037,0.03,15.36,9.63952200670166,NA,NA
"b12_assay_4","2","H11",23,0.298,"metE",204.8,0,10,90,1,1,"blank",NA,"E. coli OD600",20.48,0.037,0.1,20.48,9.92720407915344,NA,NA
"b12_assay_4","2","H12",23,0.086,"metE",204.8,0,3,97,1,1,"blank",NA,"E. coli OD600",6.144,0.037,0.03,6.144,8.72323127482751,NA,NA
"b12_assay_4","2","H13",23,0.117,"metE",81.92,0,10,90,1,1,"blank",NA,"E. coli OD600",8.192,0.037,0.1,8.192,9.01091334727929,NA,NA
"b12_assay_4","2","H14",23,0.057,"metE",81.92,0,3,97,1,1,"blank",NA,"E. coli OD600",2.4576,0.037,0.03,2.4576,7.80694054295335,NA,NA
"b12_assay_4","2","H15",23,0.068,"metE",32.768,0,10,90,1,1,"blank",NA,"E. coli OD600",3.2768,0.037,0.1,3.2768,8.09462261540513,NA,NA
"b12_assay_4","2","H16",23,0.04,"metE",32.768,0,3,97,1,1,"blank",NA,"E. coli OD600",0.98304,0.037,0.03,0.98304,6.8906498110792,NA,NA
"b12_assay_4","2","H17",23,0.047,"metE",13.1072,0,10,90,1,1,"blank",NA,"E. coli OD600",1.31072,0.037,0.1,1.31072,7.17833188353098,NA,NA
"b12_assay_4","2","H18",23,0.036,"metE",13.1072,0,3,97,1,1,"blank",NA,"E. coli OD600",0.393216,0.037,0.03,0.393216,5.97435907920504,NA,NA
"b12_assay_4","2","H19",23,0.038,"metE",5.24288,0,10,90,1,1,"blank",NA,"E. coli OD600",0.524288,0.037,0.1,0.524288,6.26204115165682,NA,NA
"b12_assay_4","2","H2",23,0.74,"metE",20000,0,3,97,1,1,"blank",NA,"E. coli OD600",600,0.037,0.03,600,13.3046849341983,NA,NA
"b12_assay_4","2","H20",23,0.033,"metE",5.24288,0,3,97,1,1,"blank",NA,"E. coli OD600",0.1572864,0.037,0.03,0.1572864,5.05806834733089,NA,NA
"b12_assay_4","2","H21",23,0.036,"metE",2.097152,0,10,90,1,1,"blank",NA,"E. coli OD600",0.2097152,0.037,0.1,0.2097152,5.34575041978267,NA,NA
"b12_assay_4","2","H22",23,0.034,"metE",2.097152,0,3,97,1,1,"blank",NA,"E. coli OD600",0.06291456,0.037,0.03,0.06291456,4.14177761545673,NA,NA
"b12_assay_4","2","H23",23,0.033,"metE",0,0,10,90,1,1,"blank",NA,"E. coli OD600",0,0.037,0.1,0,-Inf,NA,NA
"b12_assay_4","2","H24",23,0.033,"metE",0,0,3,97,1,1,"blank",NA,"E. coli OD600",0,0.037,0.03,0,-Inf,NA,NA
"b12_assay_4","2","H3",23,0.798,"metE",8000,0,10,90,1,1,"blank",NA,"E. coli OD600",800,0.037,0.1,800,13.5923670066501,NA,NA
"b12_assay_4","2","H4",23,0.741,"metE",8000,0,3,97,1,1,"blank",NA,"E. coli OD600",240,0.037,0.03,240,12.3883942023241,NA,NA
"b12_assay_4","2","H5",23,0.743,"metE",3200,0,10,90,1,1,"blank",NA,"E. coli OD600",320,0.037,0.1,320,12.6760762747759,NA,NA
"b12_assay_4","2","H6",23,0.638,"metE",3200,0,3,97,1,1,"blank",NA,"E. coli OD600",96,0.037,0.03,96,11.47210347045,NA,NA
"b12_assay_4","2","H7",23,0.665,"metE",1280,0,10,90,1,1,"blank",NA,"E. coli OD600",128,0.037,0.1,128,11.7597855429018,NA,NA
"b12_assay_4","2","H8",23,0.482,"metE",1280,0,3,97,1,1,"blank",NA,"E. coli OD600",38.4,0.037,0.03,38.4,10.5558127385758,NA,NA
